,name,type.id,type.name
301,Abstract Window Toolkit,ST1,Specialized Skill
302,Abstraction Layers,ST1,Specialized Skill
303,Abstractions,ST1,Specialized Skill
304,Abutments,ST1,Specialized Skill
305,Abvent Artlantis,ST1,Specialized Skill
306,Academic Accommodation Plans,ST1,Specialized Skill
307,Academic Advising,ST1,Specialized Skill
308,Academic Affairs,ST1,Specialized Skill
309,Academic History,ST1,Specialized Skill
310,Academic Integrity,ST1,Specialized Skill
311,Academic Language,ST1,Specialized Skill
312,Academic Libraries,ST1,Specialized Skill
313,Academic Papers,ST1,Specialized Skill
314,Academic Program Management,ST1,Specialized Skill
315,Academic Standards,ST1,Specialized Skill
316,Academic Support Services,ST1,Specialized Skill
317,Academic Writing,ST1,Specialized Skill
318,Acceleo,ST1,Specialized Skill
319,Accelerated Failure Time Models,ST1,Specialized Skill
320,Accelerated Life Testing,ST1,Specialized Skill
321,Accelerated Math,ST1,Specialized Skill
322,Accelerated Mobile Pages,ST1,Specialized Skill
323,Accelerator Physics,ST1,Specialized Skill
324,Accelerometer,ST1,Specialized Skill
325,Accelrys,ST1,Specialized Skill
326,Accent Reduction,ST1,Specialized Skill
327,Acceptable Use Policy,ST1,Specialized Skill
328,Acceptance And Commitment Therapy (ACT),ST1,Specialized Skill
329,Acceptance Sampling,ST1,Specialized Skill
330,Acceptance Test Procedures,ST1,Specialized Skill
331,Acceptance Test-Driven Development,ST1,Specialized Skill
332,Acceptance Testing,ST1,Specialized Skill
333,Access Control Facility,ST1,Specialized Skill
334,Access Control List,ST1,Specialized Skill
335,Access Control Matrix,ST1,Specialized Skill
336,Access Controls,ST1,Specialized Skill
337,Access Keys,ST1,Specialized Skill
338,Access Link Control Application Part (ALCAP),ST1,Specialized Skill
339,Access Method,ST1,Specialized Skill
340,Access Modifiers,ST1,Specialized Skill
341,Access Network,ST1,Specialized Skill
342,Access Network Discovery And Selection Function,ST1,Specialized Skill
343,Access Query Languages,ST1,Specialized Skill
344,Access Rules,ST1,Specialized Skill
345,Access Stratum,ST1,Specialized Skill
346,Accessibility of Services,ST1,Specialized Skill
347,Accession Commitments Database,ST1,Specialized Skill
348,Accident Analysis,ST1,Specialized Skill
349,Accident Prevention,ST1,Specialized Skill
350,Accident Reporting,ST1,Specialized Skill
351,Accident Response Group,ST1,Specialized Skill
352,Acclimatization,ST1,Specialized Skill
353,Accord.net,ST1,Specialized Skill
354,Accordion,ST1,Specialized Skill
355,Account Adjustments,ST1,Specialized Skill
356,Account Aggregation,ST1,Specialized Skill
357,Account Analysis,ST1,Specialized Skill
358,Account Closures,ST1,Specialized Skill
359,Account Development,ST1,Specialized Skill
360,Account Growth,ST1,Specialized Skill
361,Account Management,ST1,Specialized Skill
362,Account Planning,ST1,Specialized Skill
363,Account Reconciliation,ST1,Specialized Skill
364,Account Strategy,ST1,Specialized Skill
365,Account-Based Marketing,ST1,Specialized Skill
366,Accounting,ST1,Specialized Skill
367,Accounting Analysis,ST1,Specialized Skill
368,Accounting Cycle,ST1,Specialized Skill
369,Accounting Ethics,ST1,Specialized Skill
370,Accounting For Income Taxes,ST1,Specialized Skill
371,Accounting Information Systems,ST1,Specialized Skill
372,Accounting Machines,ST1,Specialized Skill
373,Accounting Management,ST1,Specialized Skill
374,Accounting Methods,ST1,Specialized Skill
375,Accounting Records,ST1,Specialized Skill
376,Accounting Regulations,ST1,Specialized Skill
377,Accounting Report Interpretation,ST1,Specialized Skill
378,Accounting Research,ST1,Specialized Skill
379,Accounting Software,ST1,Specialized Skill
380,Accounting Systems,ST1,Specialized Skill
381,Accounts Payable,ST1,Specialized Skill
382,Accounts Payable Automation,ST1,Specialized Skill
383,Accounts Payable Fundamentals,ST1,Specialized Skill
384,Accounts Payable Processing,ST1,Specialized Skill
385,Accounts Payable Workflow Systems,ST1,Specialized Skill
386,Accounts Receivable,ST1,Specialized Skill
387,Accounts Receivable Management,ST1,Specialized Skill
388,Accounts Receivable/Billing Fundamentals,ST1,Specialized Skill
389,Accreditation Of Public Relations,ST1,Specialized Skill
390,Accredited Investment Fiduciary,ST1,Specialized Skill
391,Accrisoft Freedom,ST1,Specialized Skill
392,Accrual Accounting,ST1,Specialized Skill
393,Accruals,ST1,Specialized Skill
394,Accrued Liabilities,ST1,Specialized Skill
395,AccuRev SCM,ST1,Specialized Skill
396,Accubid (Estimating Software),ST1,Specialized Skill
397,AceProject,ST1,Specialized Skill
398,Acetaminophen,ST1,Specialized Skill
399,Acetylene Welding,ST1,Specialized Skill
400,Achartengine,ST1,Specialized Skill
401,Achievement Testing,ST1,Specialized Skill
402,Acid Hydrolysis,ST1,Specialized Skill
403,Acid Leaching,ST1,Specialized Skill
404,Acid/Base Chemistry,ST1,Specialized Skill
405,Acidosis,ST1,Specialized Skill
406,Acids,ST1,Specialized Skill
407,Acoustic Control Induction Systems,ST1,Specialized Skill
408,Acoustic Doppler Current Profiler,ST1,Specialized Skill
409,Acoustic Emission,ST1,Specialized Skill
410,Acoustic Guitar,ST1,Specialized Skill
411,Acoustic Suspension,ST1,Specialized Skill
412,Acoustical Engineering,ST1,Specialized Skill
413,Acoustical Intelligence,ST1,Specialized Skill
414,Acoustics,ST1,Specialized Skill
415,Acquisition Due Diligence,ST1,Specialized Skill
416,Acquisition Life Cycle Framework,ST1,Specialized Skill
417,Acquisition Processes,ST1,Specialized Skill
418,Acrochordon,ST1,Specialized Skill
419,Acromioplasty,ST1,Specialized Skill
420,Acronis True Image,ST1,Specialized Skill
421,Acrylic Paint,ST1,Specialized Skill
422,Act! CRM,ST1,Specialized Skill
423,Actel SmartFusion,ST1,Specialized Skill
424,Actian Vector,ST1,Specialized Skill
425,Acting,ST1,Specialized Skill
426,Acting Workshop,ST1,Specialized Skill
427,Action Filter,ST1,Specialized Skill
428,Action Research,ST1,Specialized Skill
429,ActionScript,ST1,Specialized Skill
430,Actioncontroller,ST1,Specialized Skill
431,Actionform,ST1,Specialized Skill
432,Actions On Google,ST1,Specialized Skill
433,Actionview,ST1,Specialized Skill
434,Activated Sludge Treatment,ST1,Specialized Skill
435,Activation Systems Development,ST1,Specialized Skill
436,Active Database Management Systems,ST1,Specialized Skill
437,Active Directory,ST1,Specialized Skill
438,Active Directory Application Mode,ST1,Specialized Skill
439,Active Directory Explorer,ST1,Specialized Skill
440,Active Directory Federation Services,ST1,Specialized Skill
441,Active Directory Lightweight Directory Services,ST1,Specialized Skill
442,Active Directory Migration Tool,ST1,Specialized Skill
443,Active Directory Rights Management Services,ST1,Specialized Skill
444,Active Directory Service Interfaces,ST1,Specialized Skill
445,Active Format Description,ST1,Specialized Skill
446,Active Fuel Management,ST1,Specialized Skill
447,Active Input Method Manager,ST1,Specialized Skill
448,Active Noise Controls,ST1,Specialized Skill
449,Active Queue Management,ST1,Specialized Skill
450,Active Record Pattern,ST1,Specialized Skill
451,Active Release Techniques,ST1,Specialized Skill
452,Active Safety,ST1,Specialized Skill
453,Active Scripting,ST1,Specialized Skill
454,Active Server Pages (ASP),ST1,Specialized Skill
455,Active Stretching,ST1,Specialized Skill
456,Active Template Library,ST1,Specialized Skill
457,Active Treatment,ST1,Specialized Skill
458,Active-HDL,ST1,Specialized Skill
459,ActivePerl,ST1,Specialized Skill
460,ActivePython,ST1,Specialized Skill
461,ActiveReports,ST1,Specialized Skill
462,ActiveState Komodo (Unix Text Editors),ST1,Specialized Skill
463,ActiveSync,ST1,Specialized Skill
464,ActiveVOS,ST1,Specialized Skill
465,ActiveX,ST1,Specialized Skill
466,ActiveX Data Objects,ST1,Specialized Skill
467,ActiveX Data Objects For The Windows CE Operating System (ADOCE),ST1,Specialized Skill
468,ActiveX Document,ST1,Specialized Skill
469,ActiveXObject (JavaScript),ST1,Specialized Skill
470,Activeadmin,ST1,Specialized Skill
471,Activeandroid,ST1,Specialized Skill
472,Activecollab,ST1,Specialized Skill
473,Activism,ST1,Specialized Skill
474,Activiti (Software),ST1,Specialized Skill
475,Activities Of Daily Living (ADLs),ST1,Specialized Skill
476,Activity Diagram,ST1,Specialized Skill
477,Activity Manager,ST1,Specialized Skill
478,Activity Program Development,ST1,Specialized Skill
479,Activity Recognition,ST1,Specialized Skill
480,Activity Sequencing,ST1,Specialized Skill
481,Activity-Based Costing,ST1,Specialized Skill
482,Activity-Based Learning,ST1,Specialized Skill
483,Activstudio,ST1,Specialized Skill
484,Actor Model,ST1,Specialized Skill
485,Actuarial Reserves,ST1,Specialized Skill
486,Actuarial Science,ST1,Specialized Skill
487,Actuators,ST1,Specialized Skill
488,Acumatica,ST1,Specialized Skill
489,Acunetix,ST1,Specialized Skill
490,Acupressure,ST1,Specialized Skill
491,Acupuncture,ST1,Specialized Skill
492,Acute Assessment Unit,ST1,Specialized Skill
493,Acute Care,ST1,Specialized Skill
494,Acute Care Coding,ST1,Specialized Skill
495,Acute Coronary Syndrome,ST1,Specialized Skill
496,Acute Medicine,ST1,Specialized Skill
497,Acute Rehabilitation,ST1,Specialized Skill
498,Acute Renal Failure,ST1,Specialized Skill
499,Acute Respiratory Distress Syndrome,ST1,Specialized Skill
500,Ad Hoc Analysis,ST1,Specialized Skill
501,Ad Hoc Marketing,ST1,Specialized Skill
502,Ad Hoc On-Demand Distance Vector Routing,ST1,Specialized Skill
503,Ad Hoc Reporting,ST1,Specialized Skill
504,Ad Hoc Testing,ST1,Specialized Skill
505,Ad Serving,ST1,Specialized Skill
506,Ad Text Optimization,ST1,Specialized Skill
507,Ad Tracking,ST1,Specialized Skill
508,Ad Valorem Tax,ST1,Specialized Skill
509,Ad-Aware,ST1,Specialized Skill
510,Ad-Hoc Configuration Protocols,ST1,Specialized Skill
511,AdWorks,ST1,Specialized Skill
512,Ada (Programming Language),ST1,Specialized Skill
513,Ada Compliance,ST1,Specialized Skill
514,Ada Programming Support Environment (APSE),ST1,Specialized Skill
515,Adaboost,ST1,Specialized Skill
516,Adafruit,ST1,Specialized Skill
517,Adaptation Kit Upgrade,ST1,Specialized Skill
518,Adapted Physical Education,ST1,Specialized Skill
519,Adapter Pattern,ST1,Specialized Skill
520,Adaptive Behavior,ST1,Specialized Skill
521,Adaptive Bitrate Streaming,ST1,Specialized Skill
522,Adaptive Clinical Trials,ST1,Specialized Skill
523,Adaptive Communication Environments,ST1,Specialized Skill
524,Adaptive Control,ST1,Specialized Skill
525,Adaptive Design,ST1,Specialized Skill
526,Adaptive Differential Pulse-Code Modulation,ST1,Specialized Skill
527,Adaptive Equalizer,ST1,Specialized Skill
528,Adaptive Equipment,ST1,Specialized Skill
529,Adaptive Filter,ST1,Specialized Skill
530,Adaptive Insights (Software),ST1,Specialized Skill
531,Adaptive Learning,ST1,Specialized Skill
532,Adaptive Neuro Fuzzy Inference Systems,ST1,Specialized Skill
533,Adaptive Optics,ST1,Specialized Skill
534,Adaptive Reasoning,ST1,Specialized Skill
535,Adaptive Reuse,ST1,Specialized Skill
536,Adcolony,ST1,Specialized Skill
537,Addiction Counseling,ST1,Specialized Skill
538,Addiction Medicine,ST1,Specialized Skill
539,Addiction Recovery,ST1,Specialized Skill
540,Addiction Treatment,ST1,Specialized Skill
541,Additive Increase/Multiplicative Decrease,ST1,Specialized Skill
542,Additive Manufacturing (3D Printing),ST1,Specialized Skill
543,Additives,ST1,Specialized Skill
544,Address Locator,ST1,Specialized Skill
545,Address Resolution Protocols,ST1,Specialized Skill
546,Address Space Layout Randomization,ST1,Specialized Skill
547,Addressing Modes,ST1,Specialized Skill
548,Addressing Schemes,ST1,Specialized Skill
549,Adempiere,ST1,Specialized Skill
550,Adenoidectomy,ST1,Specialized Skill
551,Adenosine,ST1,Specialized Skill
552,Aderant (Software),ST1,Specialized Skill
553,Adhearsion,ST1,Specialized Skill
554,Adherent Cell Culture,ST1,Specialized Skill
555,Adhesive Bonding,ST1,Specialized Skill
556,Adhesive Capsulitis Of Shoulder,ST1,Specialized Skill
557,Adhoc Queries,ST1,Specialized Skill
558,Adipose Tissue,ST1,Specialized Skill
559,Adium,ST1,Specialized Skill
560,Adjacency Matrix,ST1,Specialized Skill
561,Adjacent Channel Power Ratios (Power Electronics),ST1,Specialized Skill
562,Adjudication Process,ST1,Specialized Skill
563,Adjunct Therapy,ST1,Specialized Skill
564,Adjustable Gastric Band,ST1,Specialized Skill
565,Adjusted Gross Income,ST1,Specialized Skill
566,Adjusting Entries,ST1,Specialized Skill
567,Adjustment Disorders,ST1,Specialized Skill
568,Adlib Software,ST1,Specialized Skill
569,Admin Tools,ST1,Specialized Skill
570,Admin-On-Rest,ST1,Specialized Skill
571,Administering Cisco Unified Communications Manager And Unity Connection,ST1,Specialized Skill
572,Administering Emergency Oxygen,ST1,Specialized Skill
573,Administrative Agencies,ST1,Specialized Skill
574,Administrative Law,ST1,Specialized Skill
575,Administrative Procedure Act,ST1,Specialized Skill
576,Administrative Support,ST1,Specialized Skill
577,Admiralty Law,ST1,Specialized Skill
578,Admission Notes,ST1,Specialized Skill
579,Admissions Operation,ST1,Specialized Skill
580,Admixtures,ST1,Specialized Skill
581,Admob,ST1,Specialized Skill
582,Adobe AIR,ST1,Specialized Skill
583,Adobe Acrobat,ST1,Specialized Skill
584,Adobe After Effects,ST1,Specialized Skill
